Resistivity,Moisture ,LevelofCorrosion ,Description 
26,50,1,Sandy loam
340,37,0,Fibrous loam 
255,11,0,sand clay 
210,15,0,Brown sand 
1,8,10,Loam  and slate 
0,5.5,10,Loam  and slate 
1.885,30,10,unknown experimental soil_1 
3.3091,70,10,unknown experimental soil_2 
23.2897,35,2,unknown experimental soil_2
5.3617,70,10,unknown experimental soil_2 
349,49,0,Sandy loam
100,19.91,0,Clayey Silt
58,24.25,0,Clayey Silt
40,26.45,0,Clayey Silt
98,52,0,Sandy loam
475,66,0,Sandy loam
75,27,0,Chalk
178,20,0,Reddish-brown clay
144.5,60,0,Dark grey clay
18,54,8,Clay loam
945,25,0,Blue clay 
131.5,13,0,Light brown sand
9,8.5,10,Sand and sandstone 
178,23,0,Reddish-brown loam 
299.5,18,0,Reddish-brown clay
