Resistivity,Moisture ,LevelofCorrosion,Description 
62.02,31.9,0,Silt loam
12.47,42.9,10,Sandy loam
39.3,24.7,0,Sandy loam
15.67,38.2,8,Sandy loam
38.12,32,0,Sandy loam
380,13.47,0,Clayey Silt
160,17.62,0,Clayey Silt
31,28.71,0,Clayey Silt
21,30.96,5,Clayey Silt
19,36.82,5,Clayey Silt
18,35.14,8,Clayey Silt
16,37.05,8,Clayey Silt
16,37.86,8,Clayey Silt
17,43.11,8,Clayey Silt
15,45.7,8,Clayey Silt
15,52.78,8,Clayey Silt
15,56.09,8,Clayey Silt
14,60.97,10,Clayey Silt
1094,51.5,0,Sandy loam
893,52,0,Sandy loam
393,50.2,0,Sandy loam
110,50.5,0,Sandy loam
766,71.5,0,Sandy loam
122,51,0,Sandy loam
26,54,1,Sandy loam
282,55,0,Sandy loam
112,51,0,Sandy loam
181,55,0,Clay loam
355,60,0,Dark fibrous loam
750,33,0,Loam and clay 
860,26,0,Clay and sand
695,23,0,Blue Clay
66.5,22,0,Loam 
94,13,0,Loam and clay 
775,27,0,Blue clay
610,21,0,Clay and sand 
835,25,0,Blue clay
97,21,0,Fibrous loam 
61,21,0,Chalcky loam
55,24,0,Chalk 
128.5,26,0,Chalk
150,27,0,Chalk
260,20,0,Light brown sand
178.5,15,0,Yellow sand 
103,19,0,Fibrous loam 
97,18,0,Stony loam 
64,22,0,Light sand Clay 
127.5,22,0,Sand clay
177.5,21,0,Sand clay 
172.5,10,0,Clay and Shingle
100,28,0,Fibrous loam
38,16,0,Sand loam 
32,14,0,Brown sand
11.5,5,10,Brown sand 
33,24,0,Sand and sandstone 
530,21,0,Reddish-brown clay
325,19,0,Reddish-brown clay
490,15,0,Reddish-brown clay
155.5,21,0,Black fibrous loam
0,0,10,Slate 
13,18,10,Gritty loam
16,13,8,Gritty loam 
0.5,0,10,Granite 
0.5,0,10,Granite 
0,0,10,Granite 
64,47,0,Loam 
27,41,1,Dark brown laom 
0,0,10,Slate 
0,0,10,Granite 
155.5,13,0,Fibrous loam
92,35,0,Dark grey clay 
144.5,39,0,Dark grey clay 
102.5,19,0,Dark grey clay 
35.5,15,0,Yelow and grey clay
66.5,38,0,Fibrous loam 
111,30,0,Fibrous loam
122,19,0,Clay and loam
72.5,18,0,Dark grit and clay 
225,18,0,Dark grit and clay 
245,15,0,Dark grit and clay
116.5,26,0,Fibrous loam 
75,20,0,Sandy loam 
69.5,13,0,Sandy loam
61.5,6.5,0,Fine gravel
19.5,2.9,5,Coarse gravel
16,2.6,8,Fine sand 
144.5,20,0,Sand and Shingle
183.5,15,0,Red clay and loam 
51.6059,35,0,unknown experimental soil_2 
9.93,10,10,unknown experimental soil_2
11.2762,30,10,unknown experimental soil_1 
32.69,32.3,0,Sandy loam
5600,6.36,0,Clayey Silt
1100,10.07,0,Clayey Silt
800,12.03,0,Clayey Silt
78,45,0,Sandy loam
275,48,0,Sandy loam
3,9,10,Loam  and slate
2,9,10,Loam  and slate
